Nr_IMO;Nazwa_statku;Ladownosc
7924059;SILUR;4740
7924401;WIEBKE D;1441
7926095;WILSON TRENT;4924
7928158;VT NEUTRON;275
7931997;BALTIVIA;17790
7937965;ODYS;329
7946356;SEDOV;3432
8001024;CSL ELBE;6944
8008450;CSL RHINE;6944
8010324;POLAR PIONEER;1754
8015879;SCAN FJORD;2876
8019344;GANN;6257
8023527;ORATECA;1756
8024155;AUSTERA;3149
8026440;ROMANKA;997
8027779;BESTLA;234
8100636;FRI STAR;1499
8104541;TRAVEBERG;1939
8104565;AMANDA;1441
8108121;VALDEMAR;127
8111647;CARRIER 7;2601
8120478;COUGAR;244
8121434;BODO INSTALLER;1992
8124474;HAV SAND;1360
8128884;ICELANDICA HAV;1513
8129395;OSTANHAV;3800
8131116;VT PROTON;291
8203543;NATALI;2837
8205187;LISA D;1162
8207379;VT ELECTRON;291
8208062;HOGELAND;1022
8209717;PEAK AMSTERDAM;1514
8209731;LIV KRISTIN;1843
8209743;LILL;1843
8211100;VESTLANDIA;1313
8211629;OAK;1560
8214358;ST.PAULI;3075
8214968;EURIKA;998
8215728;PEAK ABERDEEN;1528
8215730;ATLANTICA HAV;1514
8222185;HAITHABU;1372
8222367;SORMOVSKIY 3051;3041
8225474;AMON;330
8230376;VOLGOBALT 210;2516
8230481;VIRMA 2;2516
8300327;SILVER FJORD;2462
8303408;JON A HOFI;478
8315449;LIFANA;1116
8315554;TERTNES;7857
8318128;ANTONIA B;3780
8320585;GREEN ATLANTIC;3402
8321656;REBECCA ROUSING;1645
8324672;GERMANICA HAV;1557
8324684;PEIKKO;1521
8324737;NAVITA;3329
8400050;SILVER PEARL;3968
8401535;DANICA HAV;1536
8402577;HELGA;1473
8402589;HELT;1473
8402668;NINA I;998
8403545;DYNA BULK;2719
8403571;ARCTICA HAV;1532
8404446;FAST JULIA;1391
8404458;FAST WIL;1391
8404496;ANTARES;1172
8404757;MOSTEIN;411
8406779;MELODY;2932
8407228;DARWIN;1298
8407711;MENTOR;452
8410316;VESTBRIS;1477
8411633;EEMS DELFIA;1132
8412417;SNOWLARK;1289
8412687;GREEN FROST;3398
8412699;SAMSKIP ICE;3390
8415172;RABA;1843
8415653;DANUBIA;1781
8415665;BALTICA HAV;1530
8416786;ORANESS;1804
8416798;PEAK OSLO;1543
8417259;SKANSANES;1209
8417352;SEA SCAN 1;490
8418019;EEMS COAST;998
8418708;JANTAR;572
8419611;SORMOVSKIY 3055;3041
8419623;SORMOVSKIY 3056;3041
8419635;SORMOVSKIY 3057;3041
8419647;SORMOVSKIY 3058;3041
8420086;OSA;1782
8420098;LANGELAND;1832
8420713;RAMONA;1279
8420725;FALKSUND;1297
8420842;WOLIN;22874
8422022;CELTICA HAV;1537
8422034;MERITA;3329
8500630;ATLANTIC LADY;8864
8500898;AASVIK;3088
8501062;DIAMONDE;1478
8501701;MIR;2257
8504179;JAN V;1749
8504208;FREDO;1649
8504272;ARUNDO;1957
8504947;ILKA;1366
8505549;BALDER;1790
8505915;SCANLARK;1371
8505927;ANITA HAGEDORN;1297
8505939;NATHALIE;1297
8505941;FROAN;2367
8505953;FALKLAND;2367
8506024;FREM NORDICA;1139
8506373;ASTOR;20704
8506440;BRITANNICA HAV;1521
8506854;OCEAN VIKING;2090
8509002;POPRAD;1567
8509557;NOVIY SVET;7395
8509820;MAUREEN S;2061
8511029;SIMON B;1587
8511885;RUBYN;1512
8513314;SUNTIS;1564
8514784;NOVA ZEELANDIA;4440
8516263;FRIFJORD;1212
8516809;SAPUTI;2634
8518168;RADUGA EUROPE;408
8518297;JUMBO;1998
8518340;PLUTO;1998
8518558;HALLAND;1899
8519239;PREGOL HAV;1616
8519241;TRINE;3448
8601680;WINTER BAY ;2731
8602957;LADY AY;1950
8603365;INZHENER PLAVINSKIY;8026
8603377;ALEKSANDR SIBIRYAKOV;6395
8604022;KAPITAN GERASHCHENKO;1612
8604711;JAN SNIADECKI;14417
8605478;SWEDICA HAV;1616
8606006;KARBON;4744
8606018;TRIAS;4744
8607725;REEPERBAHN;3300
8609606;PRIMA DONNA;2673
8609618;PRIMA BALLERINA;2673
8609931;BONITA;920
8611013;LENE D;1593
8611192;BOUNDER;1984
8613358;IDA;1616
8616087;PERSEUS;1392
8616245;TWISTER;173
8618035;RINALAND;2006
8618358;HUCKLEBERRY FINN;26391
8628133;SORMOVSKIY 53;2466
8636817;BAGGE/CYKLOP;2757
8636960;CARRIER 8;3450
8650370;SONJA;147
8661812;MIMER;220
8702214;SORMOVSKIY 3060;2998
8702252;SORMOVSKIY 3064;3048
8703995;ODIN;202
8704559;SORMOVSKIY 3067;3048
8705838;TASERMIUT;2549
8706349;ANTRACYTH;2910
8707783;MARIE LEHMANN;2642
8709767;DAN FIGHTER;851
8710778;NORDERVEG;2574
8711291;SINEGORSK;7095
8713653;FOSS;4462
8714267;WATERMAN;429
8714841;WALTER HAMMANN;1156
8716100;POLARIS VG;7944
8719073;HAV SAGA;2026
8719085;HAUKUR;2030
8719097;HAV NES;2026
8719102;KEY STAR;2160
8719114;SUNNA;2030
8728048;DUNE 2;2516
8801060;EMILIE;851
8801072;LIVA GRETA;851
8801084;STELLA LYRA;2874
8801113;BURGTOR;2351
8801125;HOLSTENTOR;2351
8801137;RIG;2351
8802052;CALORIUS;295
8802064;JOULIUS ;295
8805602;LINK STAR;5627
8806137;NAJLAND;3826
8806163;ARINA;3826
8810786;SIERRA KING;3999
8812057;EYBORG;522
8813972;KEGUMS;3555
8814196;NEWTON;1307
8814201;CLARITY;1307
8814275;EENDRACHT;606
8814536;NOSSAN;2250
8815786;DOLFIJN;1987
8817368;PRIMA FORTUNA;1999
8817370;ROSEBURG;1999
8817409;KREMPERTOR;2351
8818075;ELBETOR;2351
8818300;GRYF;18653
8818623;TANJA;2190
8818764;NORRLAND;5562
8819299;GREEN AUSTEVOLL;5084
8820092;AFALINA;3826
8820107;TRENLAND;3826
8820286;AMETYSTH;1716
8820298;AGATH;1716
8821797;TAIMYR;7949
8821802;TIKSY;7949
8822040;GALA;2867
8822600;MAGDALENA;2371
8822612;CEMI;2370
8822636;PLATO;1990
8826541;GALATIS;889
8835853;KARL-ERIK;324
8842545;AMUR 2537;3086
8844957;GALAN;2473
8857124;MONA;473
8857136;BORGHILD;473
8857148;MARY;473
8862662;WAL;636
8865896;CARRIER 10;4138
8867052;OMSKIY 140;2470
8867246;BRIN NAVOLOK;1861
8870839;LETNIY BEREG;1862
8873025;OMSKIY 132;2528
8873087;OMSKIY 137;2528
8873336;OMSKIY 133;2528
8873764;OMSKIY 141;2460
8876572;SHEKSNA;2052
8877253;GRAND;2516
8881711;OMSKIY 134;2544
8881723;OMSKIY 135;2528
8884232;MULTIBRAVA;4567
8899081;SM PRC 101;539
8899093;SM PRC 103;576
8899108;SM-PRC 107;539
8900713;DC OSTEND;3751
8902589;TIDAN;2250
8904379;MEKHANIK MAKARIN;3178
8904408;MEKHANIK BRILIN;2489
8904422;MEKHANIK PUSTOSHNYY;2489
8905115;MAIKE;1599
8905892;PAPER STAR;2292
8906212;GERDA;852
8906224;NATHALIE;852
8906286;SYLVE;1999
8906298;KAIE;2374
8906303;VITA;2497
8908507;CELTIC CHALLENGER;2606
8908791;TORPO;1986
8908806;TINNO;1986
8909185;SEABEE;2033
8911504;STIGFOSS;3625
8911841;MALTA CEMENT;2429
8912027;ADELE;2481
8912039;SKOG;4462
8912120;GREEN COSTA RICA;7743
8912481;CORINNE;1524
8912912;LANGELAND;4559
8913485;WILSON MAIN;1690
8913708;SOLSTRAUM;3998
8914142;CARINA;2463
8914283;ANMI;2373
8915524;VIDFOSS;3625
8915536;LANGFOSS;3625
8915627;FRI WAVE;2190
8915744;THURKUS;2561
8915756;NOVATRANS;2561
8915902;LORE PRAHM;1156
8917699;SHIPOOLSEA;3236
8918459;WILSON SKAW;4197
8918461;WILSON SAGA;4200
8918473;WILSON SUND;4200
8918485;WILSON STADT;4200
8918605;VITTA THERESA;1892
8918708;PITZTAL;5624
8918734;ZILLERTAL;5602
8919221;ANDRINA F;1568
8919831;KOMET III;4169
8919843;OLZA;2292
8919855;PAPER MOON;2292
8919934;INTEGRITY;52479
8920268;RMS WANHEIM;1985
8920282;LISTRAUM;3998
8920567;SUNDSTRAUM;3206
8922242;GREEN EXPLORER;3999
8922254;STRAMI;2373
8922266;ROMI;2373
8937534;SM PRC 102 ;579
8937572;SM-PRC-108;539
8937584;SM-PRC-110;538
8937596;SM-PRC-112;538
8942826;THOR;84
8983272;PEENE QUEEN;140
8987711;ODRA QUEEN;140
9000699;BRAEMAR;24344
9000833;WILSON GARSTON;2270
9001813;HAV SNAPPER;1961
9001825;JONGLEUR;1999
9001837;PROGRES;1960
9001849;HAV ZANDER;1960
9001904;GREEN KLIPPER;4091
9005376;CHOPIN;4071
9005730;FERRO;1986
9005742;WILSON DVINA;2481
9005754;WILSON DOVER;2480
9006265;MERMERDELEN;2450
9006277;RIX STAR;2450
9006289;VITIN;2449
9006332;ELKE K;2449
9006356;ELISABETH K;2449
9006370;CELTIC AMBASSADOR;2449
9006394;STEFAN K.;2448
9006447;SEA RUBY;1382
9006461;DELTA II;7543
9006473;DREJO II;7540
9006954;SAN DIEGO;1960
9007104;HORDAFOR VII;3222
9007879;TRANS CARRIER;9953
9010814;MAZOVIA;29940
9011519;HAVSTRAUM;4931
9011985;ERIC HAMMANN;1156
9013000;JAN D;1981
9013048;FRISIUM;1786
9013062;EEMS COBALT;1666
9014705;WILSON BILBAO;2446
9014717;WILSON BREMEN;2446
9014937;KATRE;2497
9014949;SKY VITA;2497
9015046;GLEN;2827
9015424;RYSUM;1662
9015448;PILSUM;1662
9015450;UTTUM;1662
9015462;DORNUM;1662
9015929;EEMS DELTA;999
9017379;WILSON HUSUM;3092
9017381;WILSON HUMBER;3092
9017393;WILSON SKY;3037
9017434;WILSON HOOK;2993
9019078;GALILEUSZ;15848
9019200;CELINA;4073
9020285;NAVEN;2497
9030230;PRIMA CELINA;1599
9030462;RONJA;1512
9030486;SHETLAND TRADER;1512
9030515;PIRHOLM;1513
9031428;LANDY;4090
9031703;COPERNICUS;14398
9032458;NAUTICA;1587
9033505;BRAVE LEADER;13706
9033866;LEHMANN SPRINTER;1999
9033878;BONAY;1189
9034494;WINDSTAR;2237
9037173;CYPRUS CEMENT;4069
9037903;ANN ROUSING;2326
9038397;JOMI;2827
9041318;ASTRA;2416
9041320;FORSETI;2416
9043366;VT WARSAW & VT PROTON ;7750
9043378;VT COPENHAGEN;7543
9044932;SWE BULK;2480
9045651;MISTRAL;5469
9045728;NOTOS;5458
9048287;CEMVALE;2894
9050125;RIX CRYSTAL;2478
9051210;FORTUNA;2446
9052678;SELVAAGSUND;1598
9052692;VESTFJORD;1596
9052707;GERD;2650
9052824;JURA;5680
9053816;CORAL OBELIA;3853
9053828;BEATA;4927
9054963;LADY MAGDA;2561
9056026;WILSON GDANSK;2506
9056038;WILSON GIJON;2506
9056040;WILSON GRIMSBY;2506
9056064;WILSON GDYNIA;2506
9057238;HENDRIKA MARGARETHA;1999
9057252;BALTIYSKIY-202 ;2506
9057288;VASILIY SHUKSHIN;2506
9057329;MIKHAIL DUDIN;2319
9059248;EGESUND;136
9060675;WILSON ELBE;1589
9060687;WILSON MOSEL;1589
9060778;AASLI;3968
9063299;PINTA;2190
9063873;IMI;2715
9063885;KAAMI;2715
9064126;SEVEN SEAS NAVIGATOR;28803
9064891;WILSON HARRIER;2811
9064906;WILSON HAWK;2810
9065405;SCHELDE HIGHWAY;8659
9065417;WESER HIGHWAY;8659
9065948;RIX RIVER;2446
9066045;SEG;1596
9066069;KENTO;1596
9066071;ESPADON;1598
9067582;LDR SAKINE;4193
9070448;INDEPENDENCE II  ;55598
9073581;SUNMI;2825
9073854;HAV DOLPHIN;1960
9073880;HAV DOLPHIN;2075
9073892;HAV MARLIN;1990
9075357;RMS RUHRORT;1681
9075371;SUPERIOR;1682
9075450;LADY HAYAT;3676
9077082;KITE ARROW;36008
9077563;KAPITAN MIRONOV;4998
9077575;KAPITAN YAKOVLEV;4998
9077587;ZAMOSKVORECHYE;4998
9080675;LYRIKA;1909
9080687;PASSAAT;1937
9081291;EEMSGRACHT;8448
9081332;ELANDSGRACHT;8448
9081344;ARKONIA;2735
9081356;ISIDOR;2735
9082403;NORNE;3443
9083201;SANDAL;1596
9083885;PATRIOT;2163
9084229;SENSEI;13865
9084487;KOPERSAND;1960
9085455;FAST SAM;1983
9085481;THOPAS;2561
9086538;PANTANASSA;18495
9086588;SKANIA;23933
9086605;PRIMA LADY;2561
9087312;SARTOR;3001
9087647;BLUE ETERNITY;26064
9088263;HANSEATIC SPIRIT;2650
9088287; WILSON HAMBURG ;2818
9088299;LISTERLAND;2735
9088847;ELISABETH;1099
9099171;MIRA A;348
9100059;SELENE PRAHM;1584
9100126;SWAMI;2839
9100138;NORDIC CHANTAL;2854
9100152;LEHMANN RUNNER;2769
9100188;TITRAN;2744
9101546;CSL CLYDE;4783
9101730;SPLITTNES;11538
9102899;AZBURG;6353
9103972;PAULIN-B;1596
9105841;MEIKE-B;2889
9106584;KLAIPEDA;2395
9106912;HAV PIKE;2446
9106924;WILSON BORG;2446
9107136;NORHOLM;3443
9108350;POLONIA;29875
9108439;INGEBORG PILOT;2061
9108740;BERGSTRAUM;6045
9109043;RIX LAKE;2345
9109081;KHOLMOGORY;2986
9110913;FEDERAL SAGUENAY;20837
9111060;IVAN SHCHEPETOV;3376
9111125;COUNTESS ANNA ;1589
9112143;B GAS CHAMPION;2458
9112155;B GAS COMMANDER;2458
9112351;ANGORA;18675
9113018;PASILA;10098
9113381;SYMPHONY;15500
9113599;TULOS;1596
9113721;MARJA;3999
9114696;VERA ROSE;2735
9114701;FRIGGA;2818
9114713;SAIL;2818
9114725;KADRI;3117
9114737;KAILI;3117
9114763;FJORDSTRAUM;3726
9115896;FRI STREAM;2051
9115925;BRUFJELL;2846
9115937;LAFJELL;2846
9115987;ANJA;1996
9115999;FEED FISKAA;2863
9116008;GRIFTBOR;2771
9116010;NORDIC DIANA;2774
9116022;WILSON HERON;2901
9116034;ESKY;1998
9116199;VANQUISH;2997
9116773;KIRSTEN B;1596
9116802;RIX EMERALD;2061
9117208;WILSON LISTA;2446
9117416;LITA;11121
9117959;NEULAND;2271
9117961;FLUVIUS OTTER;2300
9117973;RMS RAHM;1682
9118006;ANNE;2035
9118496;CHRISTINA;6045
9119361;SURGUT;4110
9119622;KOVERA;1598
9119634;REBECCA HAMMANN;1595
9121912;LAIME;12192
9122227;CONGER;3999
9123300;FORESTER;4110
9123312;PATRIA;2210
9123506;NAVI STAR;4178
9123570;NESS;3998
9123702;BEREKET;14762
9123805;NJORD;6326
9123817;BF CARTAGENA;3999
9124419;WILSON BLYTH;2446
9125047;WILSON CARONTE;2997
9125085;WILSON CORPACH;2997
9125669;AMIKO;3821
9125671;CEDEIRA;2805
9125695;KERLI;2844
9125841;WILSON SAAR;1043
9126297;HONOR;49814
9126352;LADY  MENNA;2561
9126429;KEREM;18675
9126625;HAV STREYM;2345
9126687;WILSON GOOLE;2446
9126900;WILSON BREST;2446
9126912;WILSON GRIP ;2446
9128336;REYMAR;2901
9128403;RIX ALLIANCE;2061
9128685;GAS PASHA;2926
9129122;HAV ATLANTIC;2820
9129134;CELTIC WARRIOR;2842
9129263;BALTIC BRIGHT;9708
9129380;CORAL MEANDRA;4054
9129392;CORAL MILLEPORA;4054
9130200;KAJA;2844
9130212;FEHN LUNA;2844
9130808;NORDIC NELLY;4137
9131199;ANGON;1627
9131589;LISTERHAV;3323
9132038;HAGLAND BONA;2456
9132480;KOM;10220
9132492;BOGDAN;10220
9133513;MIRJAM;2061
9133599;BITLAND;4025
9135743;FRI LANGESUND;2844
9135834;GB PACIFIC;3891
9136096;FAST SUS;2055
9136101;FAST JEF;2066
9136113;STELLA WEGA;3983
9136137;NAOS;2848
9136204;CELTIC SPIRIT;2840
9136216;LISTERVIK;2863
9136307;BALTSUND;63
9136838;YASEMIN;4355
9137038;LADY IRINA;3323
9137193;SMN EXPLORER;1882
9137296;RIX SPRING;1864
9138185;BALTIC SKIPPER;2280
9138197;BALTIC CARRIER;2280
9138202;BALTIC MERCHANT;2280
9138214;BALTIC SAILOR;2280
9138642;ISMINI;18108
9138692;THEODOSIA;15888
9138757;EVERT PRAHM;1598
9138769;SCOT RANGER;2260
9139115;F. ARSLAN V;3854
9139323;RIX PLATO;2876
9140815;FJELLSTRAUM;3726
9140932;SILVER OCEAN;3817
9140944;SILVER BERGEN;3817
9140956;GREEN TROMSO;3817
9140968;ALMA;3817
9140970;BELBEK;3817
9141352;PAUL;2844
9141364;FALKFJORD;2834
9141376;RIGA;2810
9142497;JUTLAND;2224
9142514;MEDEMBORG;6540
9142552;MERWEBORG;6540
9142564;ARNE;6540
9142576;VALDAY;1682
9142629;SNOW STAR;2904
9142631;ICE STAR;2904
9142643;AMBER  SPIRIT;3782
9143269;JOHANNE;4726
9143374;GREEN BERGEN;3817
9143386;SILVER COPENHAGEN;3817
9143398;AST MALTA;3415
9143594;WATERWAY;1143
9143611;UFA;2914
9143788;TRANSRISOLUTO;2848
9145126;NAJA;2528
9145140;KINE;2061
9145229;TZAREVETZ;13965
9145542;WILSON RUHR;1169
9145554;WILSON MAAS;1169
9146027;ST DARE;9488
9146118;DIAMOND CANAKKALE;6000
9147136;AASTIND;4999
9147459;ALAND;1996
9147708;GRIETJE;8397
9147863;MANGARD;5381
9148128;LADY ISABEL;3323
9148142;EEMS CARRIER;1546
9148166;FRANCISCA;2377
9148180;NORDBORG;2780
9148192;FRI SKIEN;2780
9148207;OSTEREMS;2780
9148776;FAIRPLAY 23;496
9149732;AURORA D;15355
9150080;ROMY TRADER;5941
9150236;WILSON GHENT;2446
9150482;WILSON LEER;2446
9150494;WILSON BRUGGE;2446
9150509;WILSON LEITH;2446
9150511;WILSON BRAKE;2446
9150535;WILSON TEES;2446
9154268;NOGAT;11848
9155418;BERUM;4115
9155432;BLUE PHANTOM;4115
9155688;ALDEBARAN;1675
9155872;JESSICA ;2820
9155913;NAMAI;4446
9155925;KONINGSBORG;6142
9155937;KASTEELBORG;6142
9155949;UNIMAR;2820
9155963;LISTER;2863
9155975;VISURGIS;2853
9155987;KATRIN;3170
9156101;WILSON CALAIS;2994
9156113;WILSON CEUTA;2994
9156175;TOVE;1864
9156187;BERIT;1864
9156199;NINA;1864
9156498;IERAX;10298
9158070;NETBURG;5742
9159426;RUBYRED;26586
9160334;VECHTBORG;6130
9160346;VLISTBORG;6130
9161065;GAS GALAXY;3607
9161182;BBC OSTFRIESLAND;13066
9161247;NAWIGATOR XXI;1245
9161912;FFS AMARANTH;360
9162411;JADE I;15660
9163582;KRISTIN D;2035
9163623;FLUVIUS AXE;2316
9163635;SP VIKING;2829
9163647;MARC;2774
9163685;DINTELBORG;6235
9163697;DONGEBORG;6205
9164081;ARAGONITH;3218
9164093;AMONITH;3218
9164718;TRANS HOLM;4667
9164732;KILSTRAUM;4667
9164794;SOUTH RIVER;14118
9165308;VICTORIA;3999
9166467;SYLVIA;3999
9166613;SAR LOKE;2598
9167320;ULTRAMAR;2820
9167332;TRANSMAR;2820
9167344;SOLYMAR;2820
9167356;ROVER;2810
9167978;RIX PACIFIC;2039
9168116;WILSON RHINE;1169
9171058;HAGLAND BOSS;2446
9171060;HEINRIH G;2446
9171096;WILSON GAETA;2446
9171101;PROSNA;2446
9171175;ICE EAGLE;13846
9171187;ICE CONDOR;13817
9171395;RAMA;6354
9171474;TOUR POMEROL;7329
9172155;CRYSTAL AMARANTO;6785
9172210;DORIS;9956
9172222;FINNSTRAUM;9956
9173161;DELFIN;2789
9173185;FEHN MARINER;2056
9173197;TRUFFALDINO;2056
9173214;KATI;3454
9173290;WILSON CAEN;2999
9173513;RIX MISTRAL;2446
9173563;HAGLAND BORG;2456
9173692;TALI;10098
9174713;AMBER 1;3159
9176694;TRANS CATALONIA;13005
9177777;GEORGE;7918
9177868;ARION;1846
9177882;WILSON ODRA;1846
9177894;HESTIA;1846
9178446;WILSON WAAL;1170
9178458;WILSON CLYDE;2997
9179311;MARTTA VG;2820
9179361;NEMUNA;2863
9179373;VOORNEBORG;6130
9179983;MAIN HIGHWAY;9233
9179995;NECKAR HIGHWAY;9233
9180358;ISA;21387
9180360;ISOLDA;21387
9180372;ISADORA;21387
9180384;IRYDA;21387
9180396;IRMA;21387
9180839;MOEZELBORG;6540
9180841;KAROLI;3954
9180853;AMBER TRADER;3954
9180865;MAXI;4503
9180877;FELIX;4503
9184421;AVOCA;2469
9184653;VEERSEBORG;6130
9184811;CHRISTINE;2834
9185073;MAHA JACQUELINE;38667
9185190;NORDERVON;1976
9186352;LATANA;9960
9186948;GAS LEGACY;3392
9187045;THORCO MERLE;11894
9187136;SHARON;2999
9187916;KRISTIINA;4871
9187928;TRANSCAPRICORN;4893
9188958;KAMELIA;2999
9190080;ONEGO PIONEER;12993
9190092;OSLO WAVE;12993
9190171;CAPELLA;2780
9190183;FRI BREVIK;2868
9190212;LONGNES;6142
9190262;PARAMAR;2820
9190353;TIFJORD;2999
9190365;SUSAN;2999
9191254;RIX MUNTE;2997
9191266;KASSEL;2997
9191747;KRISTEL;2999
9191931;NORRBOTTEN;4211
9191943;DRAGONERA;4244
9191955;CABRERA;4244
9192612;WILSON CADIZ;2999
9192636;WERRA;2997
9192650;ARLAU;2461
9193707;ROSINA TOPIC ;26216
9194036;ESENIYA;3170
9194048;SWE CARRIER;3170
9194050;LADA;3170
9194062;DARINA;3170
9194270;RIX ATLANTIC;2451
9194282;JORVIK;2450
9194830;RIX ELEONORA;2446
9195133;EMS HIGHWAY;9233
9195145;ISAR HIGHWAY;9233
9195212;RIX PARTNER;2446
9195377;STORTEBEKER;2301
9195391;HENDRIK-S;2311
9195418;THEA MARIEKE;2311
9195482;RANDZEL;3173
9195535;EEMS EXE;2545
9195638;YVONNE K.;2545
9195640;EEMS DART;2545
9195652;CROWNBREEZE;2548
9195676;FRI TIDE;2218
9195688;DRAIT;2218
9195690;FRI OCEAN;2218
9195705;GEERT K;2545
9195717;JUERGEN K;2545
9195729;VEDETTE;2545
9195731;VENTURA;2545
9195743;HELAS;2545
9195755;JOHN FRIEDRICH K;2545
9195810;ANTONIA;2876
9195822;VINGAREN;2876
9195834;MARIO L;2997
9195858;FLUVIUS TAW;2998
9195872;VALENTINA;2999
9195896;INGUNN;2999
9195901;ELENA L;2997
9195949;KAIRIT;2997
9196163;SVETLANA;6219
9196175;MAI LEHMANN;2774
9196187;WESTBORG;2868
9196199;FRI PORSGRUNN;2868
9196204;SYDBORG;2868
9196216;OSTBORG;2868
9196242;VAASABORG;6130
9196254;VARMLAND;2271
9196266;BBS SKY;2316
9197399;EIDER;2452
9197442;MARNE;2530
9197454;BEKAU;2461
9197765;BARBAROSSA;2301
9197777;NIKAR G;2301
9197789;MERIT;2301
9197806;TOMKE ;2301
9197818;SAXUM;2301
9198173;VLAANDEREN VII;941
9198214;VLAANDEREN VIII;941
9198446;WILSON WESER;1550
9198458;WILSON LAHN;1559
9198630;ANTJE K;3037
9198642;JOHN - PAUL K.;3037
9198654;DANIEL K;3037
9199139;PINNAU;2452
9199141;KRUCKAU;2452
9199256;THESEUS;1846
9199385;TRANSLONTANO;3244
9199402;TRANSFORZA;3244
9199414;TRANSDISTINTO;3244
9199684;ZEUS;1846
9199696;THEBE;1846
9200081;KAPRIFOL;1845
9200445;FEDERAL RIDEAU;20659
9201798;LADY CLAUDIA;4235
9201803;LADY CLARISSA;4235
9201815;LADY CHRISTINA;4235
9201827;LADY CARINA;4235
9201839;SP VENTURE;2829
9201932;DERK;2056
9201944;ASHLEY;2056
9201956;DAAN;2080
9201968;PANDA;2088
9201970;WESTEWIND;2080
9202041;YAMAL KRECHET;13066
9202053;MARCHICORA;13066
9204049;FRANK;9266
9204790;TIMBERLAND;13066
9205158;COASTALWATER;2144
9205718;SABINA;5968
9205902;FEDERAL HUDSON;20659
9205938;FEDERAL HUNTER;20659
9207508;MISSISSIPPIBORG;6540
9208203;THORCO MYLENE ;11894
9210012;IBERICA HAV;1599
9210359;S.KUZNETSOV;6204
9211066;FRI KARMSUND;2858
9211078;FRI KVAM;2858
9211107;HARMONY S;4362
9213090;TRANSOSPREY;16037
9213727;AIRISTO;6154
9213739;VARNEBANK;6130
9213753;BOKA;19728
9213882;LONGDUIN;4503
9213894;EMSMOON;4563
9213997;KUPER;2891
9214018;SANDETTIE;2088
9214185;TANGO REY;6382
9215658;LONGDIJK;4503
9216482;MIKHAIL LOMONOSOV ;2990
9217151;THORCO CONQUEST;7406
9218193;HC NATALIA;5381
9218222;BBS SURF;2316
9218234;EEMS TRAVELLER;2137
9218404;FEDERAL SHIMANTO;19125
9219460;TRANSVOLANTE;3244
9219874;FREYA;5067
9221607;UNITY;39035
9223148;BOEMMELBAS;1206
9223423;AMADEUS AQUAMARIJN;1898
9223435;AMADEUS AMETHIST;1898
9223813;MONTROSE;17944
9224104;FRI RIVER;2548
9224142;ZILTBORG;4938
9224154;ZAANBORG;4938
9224166;HERMAS;2829
9224661;HAWK I;27986
