data	zamowienie
27/02/2019	240
28/02/2019	392
01/03/2019	419
04/03/2019	18
05/03/2019	367
06/03/2019	80
07/03/2019	332
08/03/2019	35
11/03/2019	423
12/03/2019	206
13/03/2019	241
14/03/2019	38
15/03/2019	287
18/03/2019	360
19/03/2019	410
20/03/2019	11
21/03/2019	245
22/03/2019	38
25/03/2019	418
26/03/2019	430
27/03/2019	138
28/03/2019	240
29/03/2019	259
01/04/2019	234
02/04/2019	266
03/04/2019	432
04/04/2019	73
05/04/2019	178
08/04/2019	76
09/04/2019	141
10/04/2019	201
11/04/2019	4
12/04/2019	220
15/04/2019	95
16/04/2019	361
17/04/2019	19
18/04/2019	336
19/04/2019	10
22/04/2019	131
23/04/2019	61
24/04/2019	447
25/04/2019	50
26/04/2019	160
29/04/2019	2
30/04/2019	334
01/05/2019	437
02/05/2019	387
03/05/2019	134
06/05/2019	277
07/05/2019	278
08/05/2019	149
09/05/2019	311
10/05/2019	247
13/05/2019	239
14/05/2019	433
15/05/2019	39
16/05/2019	35
17/05/2019	60
20/05/2019	368
21/05/2019	372
22/05/2019	96
23/05/2019	416
24/05/2019	164
27/05/2019	0
28/05/2019	79
29/05/2019	156
30/05/2019	137
31/05/2019	314
03/06/2019	98
04/06/2019	243
05/06/2019	74
06/06/2019	218
07/06/2019	100
10/06/2019	331
11/06/2019	438
12/06/2019	219
13/06/2019	50
14/06/2019	259
17/06/2019	27
18/06/2019	316
19/06/2019	388
20/06/2019	209
21/06/2019	149
24/06/2019	356
25/06/2019	236
26/06/2019	10
27/06/2019	32
28/06/2019	301
01/07/2019	300
02/07/2019	187
03/07/2019	420
04/07/2019	244
05/07/2019	411
08/07/2019	96
09/07/2019	194
10/07/2019	188
11/07/2019	241
12/07/2019	373
15/07/2019	27
16/07/2019	390
17/07/2019	115
18/07/2019	444
19/07/2019	6
22/07/2019	43
23/07/2019	181
24/07/2019	272
25/07/2019	148
26/07/2019	49
29/07/2019	316
30/07/2019	317
31/07/2019	130
01/08/2019	432
02/08/2019	394
05/08/2019	1
06/08/2019	97
07/08/2019	67
08/08/2019	364
09/08/2019	97
12/08/2019	207
13/08/2019	83
14/08/2019	252
15/08/2019	133
16/08/2019	217
19/08/2019	249
20/08/2019	376
21/08/2019	116
22/08/2019	64
23/08/2019	85
26/08/2019	295
27/08/2019	82
28/08/2019	149
29/08/2019	369
30/08/2019	327
02/09/2019	154
03/09/2019	316
04/09/2019	327
05/09/2019	270
06/09/2019	130
09/09/2019	371
10/09/2019	295
11/09/2019	36
12/09/2019	287
13/09/2019	286
16/09/2019	265
17/09/2019	2
18/09/2019	78
19/09/2019	41
20/09/2019	117
23/09/2019	152
24/09/2019	95
25/09/2019	330
26/09/2019	399
27/09/2019	276
30/09/2019	155
01/10/2019	290
02/10/2019	181
03/10/2019	335
04/10/2019	337
07/10/2019	102
08/10/2019	283
09/10/2019	143
10/10/2019	234
11/10/2019	112
14/10/2019	220
15/10/2019	91
16/10/2019	226
17/10/2019	227
18/10/2019	209
21/10/2019	166
22/10/2019	18
23/10/2019	399
24/10/2019	206
25/10/2019	416
28/10/2019	247
29/10/2019	141
30/10/2019	301
31/10/2019	248
01/11/2019	116
04/11/2019	314
05/11/2019	246
06/11/2019	244
07/11/2019	77
08/11/2019	78
11/11/2019	234
12/11/2019	197
13/11/2019	172
14/11/2019	238
15/11/2019	105
18/11/2019	392
19/11/2019	84
20/11/2019	362
21/11/2019	112
22/11/2019	250
25/11/2019	229
26/11/2019	234
27/11/2019	447
28/11/2019	440
29/11/2019	311
02/12/2019	48
03/12/2019	120
04/12/2019	439
05/12/2019	130
06/12/2019	331
09/12/2019	267
10/12/2019	336
11/12/2019	269
12/12/2019	164
13/12/2019	260
16/12/2019	300
17/12/2019	322
18/12/2019	137
19/12/2019	55
20/12/2019	103
23/12/2019	59
24/12/2019	117
25/12/2019	159
26/12/2019	158
27/12/2019	168
30/12/2019	295
31/12/2019	211
