LP;Data_przybycia;Nr_IMO;Bandera;Nabrzeze
142;22.01.2016;9404065;AG;FINSKIE
143;22.01.2016;9375903;AG;WULKAN S
144;22.01.2016;8511029;DE;DRZETOWSKIE N
145;22.01.2016;9518426;AG;REGALICA
146;23.01.2016;8320585;DM;POLSKIE
147;23.01.2016;7641475;PL;CAL
148;23.01.2016;8906298;MT;HUTA (KRA)
149;23.01.2016;9083201;RU;CHORZOWSKIE
150;23.01.2016;8416798;CK;CHORZOWSKIE
151;23.01.2016;9454802;AG;BULGARSKIE
152;23.01.2016;9196216;NL;SNOP S
153;23.01.2016;7615749;PL;CZESKIE
154;23.01.2016;7823334;VC;HUTA (KRA)
155;24.01.2016;9385908;NL;GORNOSLASKIE
156;24.01.2016;8400050;BS;POLSKIE
157;24.01.2016;8404446;BE;BULGARSKIE
158;24.01.2016;8211629;CK;OKO
159;24.01.2016;9155913;NL;GDYNSKIE N
160;24.01.2016;9350939;NL;CZESKIE
161;24.01.2016;9117961;BS;REGALICA
162;24.01.2016;8922266;BS;KATOWICKIE
163;24.01.2016;7615749;PL;SPOLDZIELCZE
164;24.01.2016;9341172;FO;BYTOMSKIE
165;25.01.2016;9106584;LT;HUTA (KRA)
166;25.01.2016;8404757;NO;DRZETOWSKIE N
167;25.01.2016;9123300;DE;KATOWICKIE
168;25.01.2016;9360996;CY;FINSKIE
169;25.01.2016;9140956;BS;BULGARSKIE
170;25.01.2016;7615749;PL;SPOLDZIELCZE
171;25.01.2016;9100138;NO;WEGIERSKIE
172;25.01.2016;9279020;BB;GDYNSKIE N
173;26.01.2016;8913485;BB;WALBRZYSKIE
174;26.01.2016;9108740;NO;HUTA (KRA)
175;26.01.2016;9287699;MT;FINSKIE
176;26.01.2016;7704057;PL;CAL
177;26.01.2016;8636817;SE;ROSYJSKIE
178;26.01.2016;7615749;PL;SPOLDZIELCZE
179;27.01.2016;9313773;NL;WALBRZYSKIE
180;27.01.2016;8905892;AG;BELGIJSKIE
181;27.01.2016;6808090;VC;GLIWICKIE
182;28.01.2016;9341732;NL;HUK
183;28.01.2016;9174713;CY;FARBOLAK SWFIL
184;28.01.2016;9370721;PA;SNOP N
185;28.01.2016;8820107;MT;SLOWACKIE
186;28.01.2016;9402689;GI;FOSFATOWE DALBY
187;28.01.2016;9522958;MT;GORNOSLASKIE
188;28.01.2016;9125695;MT;SNOP N
189;29.01.2016;9201803;NL;CZESKIE
190;29.01.2016;9219874;NL;CZESKIE
191;29.01.2016;9123570;BB;RUMUNSKIE
192;29.01.2016;9411783;NL;ANGIELSKIE
193;29.01.2016;9290684;AG;PRZEMYSLOWE
194;29.01.2016;9195810;FI;GLIWICKIE
195;29.01.2016;9349186;AG;FINSKIE
196;30.01.2016;9612533;NL;PARNICKIE
197;31.01.2016;7382677;BB;HUK
198;31.01.2016;9361366;NL;CEMENTOWE
199;31.01.2016;8504179;AG;HUTA (KRA)
200;31.01.2016;8801084;NL;WALBRZYSKIE
201;31.01.2016;9163582;BS;PARNICKIE
202;31.01.2016;9155688;LT;PRZEMYSLOWE
203;31.01.2016;9142631;NL;HUTA (KRA)
204;01.02.2016;9313864;NL;PARNICKIE
205;01.02.2016;9201798;NL;CHORZOWSKIE
206;01.02.2016;9148166;AG;KATOWICKIE
207;01.02.2016;9195652;NL;FOSFATOWE
208;01.02.2016;9017434;CY;PRZEMYSLOWE
209;01.02.2016;9122227;AG;CZESKIE
210;02.02.2016;9085455;BE;GORNOSLASKIE
211;02.02.2016;9341782;NL;HUTA (KRA)
212;02.02.2016;9148180;NL;SLOWACKIE
213;02.02.2016;9180841;MT;BULGARSKIE
214;02.02.2016;9231846;AG;FINSKIE
215;02.02.2016;9266425;NL;FARBOLAK SWFIL
216;02.02.2016;9360996;CY;CZESKIE
217;02.02.2016;9638147;MT;GLIWICKIE
218;03.02.2016;9300489;PT;PARNICKIE
219;03.02.2016;8801113;AG;DRZETOWSKIE N
220;03.02.2016;7814462;BS;BULGARSKIE
221;03.02.2016;8919221;AG;REGALICA
222;04.02.2016;9313802;NL;PRZEMYSLOWE
223;04.02.2016;9167320;CY;SLOWACKIE
224;04.02.2016;9143788;GI;SLOWACKIE
225;04.02.2016;8509002;CY;HUTA (KRA)
226;05.02.2016;9140944;NO;BULGARSKIE
227;05.02.2016;8504208;DE;SNOP N
228;05.02.2016;9411783;NL;HUTA (KRA)
229;05.02.2016;9452610;BS;SLOWACKIE
230;05.02.2016;9454802;AG;BULGARSKIE
231;05.02.2016;9404065;AG;FINSKIE
232;05.02.2016;6519302;PL;REMONTOWE
233;05.02.2016;9173563;NO;SNOP N
234;05.02.2016;9116008;AG;REGALICA
235;06.02.2016;9219874;NL;FINSKIE
236;06.02.2016;7704057;PL;CAL
237;06.02.2016;7615749;PL;SPOLDZIELCZE
238;06.02.2016;9392391;PA;HUTA (KRA)
239;07.02.2016;9218222;BS;GORNOSLASKIE
240;07.02.2016;9501875;AG;KASZUBSKIE
241;07.02.2016;9201803;NL;SLOWACKIE
242;07.02.2016;9617337;CY;REGALICA
243;07.02.2016;9341782;NL;WALBRZYSKIE
244;07.02.2016;8905892;AG;SLOWACKIE
245;08.02.2016;8404458;VU;HOLENDERSKIE
246;08.02.2016;9177882;AG;BYTOMSKIE
247;08.02.2016;9411769;NL;ANGIELSKIE
248;08.02.2016;8023527;DK;FOSFATOWE DALBY
249;08.02.2016;9248370;CY;HUTA (KRA)
250;08.02.2016;9106584;LT;SNOP S
251;08.02.2016;9313797;NL;HUTA (KRA)
252;08.02.2016;9423669;NL;SNOP S
253;08.02.2016;9411745;NL;GORNOSLASKIE
254;09.02.2016;9346691;NL;SNOP N
255;09.02.2016;9287699;MT;FINSKIE
256;09.02.2016;8222185;AG;OKO
257;09.02.2016;8918708;NL;WEGIERSKIE
258;09.02.2016;9187928;GI;SLOWACKIE
259;09.02.2016;9360996;CY;CZESKIE
260;10.02.2016;9171101;CY;GLIWICKIE
261;10.02.2016;8616245;DE;MAZOWIECKIE
262;10.02.2016;9344320;PT;PARNICKIE
263;10.02.2016;9399404;NL;SLOWACKIE
264;10.02.2016;8407711;CY;MAK
265;10.02.2016;7704057;PL;CAL
266;11.02.2016;9433365;AG;GLIWICKIE
267;11.02.2016;9549607;RU;BULGARSKIE
268;11.02.2016;8419611;RU;RUMUNSKIE
269;11.02.2016;9128336;GI;GLIWICKIE
270;11.02.2016;7504926;PL;PRCIP
271;11.02.2016;8870839;RU;KATOWICKIE
272;11.02.2016;9423657;NL;SLOWACKIE
273;11.02.2016;8919221;AG;DRZETOWSKIE N
274;11.02.2016;9479943;NL;SNOP S
275;11.02.2016;7704057;PL;CAL
276;11.02.2016;9142643;AG;BULGARSKIE
277;12.02.2016;9219874;NL;CZESKIE
278;12.02.2016;9341782;NL;CHORZOWSKIE
279;12.02.2016;9349186;AG;FINSKIE
280;12.02.2016;8713653;CY;ARSENAL
281;12.02.2016;7615749;PL;FARBOLAK SWFIL
282;12.02.2016;9229544;NL;ODRA STARE
283;12.02.2016;8402577;AG;OKO
284;12.02.2016;8611192;AG;WULKAN S
285;12.02.2016;8205187;AG;SNOP S
286;12.02.2016;7382677;BB;WALBRZYSKIE
287;12.02.2016;8404446;BE;BELGIJSKIE
288;12.02.2016;9427524;DK;FOSFATOWE DALBY
289;13.02.2016;9165308;AG;CZESKIE
290;13.02.2016;9555321;RU;SLOWACKIE
291;13.02.2016;9660592;PA;SLOWACKIE
292;13.02.2016;9345714;RU;SLOWACKIE
293;13.02.2016;9290048;AG;CHORZOWSKIE
294;13.02.2016;7641475;PL;CAL
295;13.02.2016;9279408;NL;REGALICA
296;13.02.2016;9081344;BB;PARNICKIE
297;14.02.2016;8918459;BB;HUTA (KRA)
298;14.02.2016;9341768;NL;CZESKIE
299;14.02.2016;7704057;PL;CAL
300;14.02.2016;8881723;RU;BULGARSKIE
301;15.02.2016;9433377;NL;KATOWICKIE
302;15.02.2016;9192650;AG;ODRA NOWE
303;15.02.2016;9344320;PT;PARNICKIE
304;15.02.2016;8504179;AG;HUTA (KRA)
305;15.02.2016;9631072;NL;GORNOSLASKIE
306;15.02.2016;9424546;LR;ARSENAL
307;15.02.2016;9148166;AG;FOSFATOWE
308;15.02.2016;9501655;AG;KATOWICKIE
309;15.02.2016;9341782;NL;WALBRZYSKIE
310;15.02.2016;8877253;KN;SNOP S
311;15.02.2016;9411745;NL;BULGARSKIE
312;15.02.2016;9148192;CY;GORNOSLASKIE
313;16.02.2016;8320585;DM;POLSKIE
314;16.02.2016;9057238;NL;SNOP N
315;16.02.2016;9171060;AG;HUTA (KRA)
316;16.02.2016;9462744;NL;ANGIELSKIE
317;16.02.2016;9231846;AG;FINSKIE
318;16.02.2016;8813972;NO;BULGARSKIE
319;16.02.2016;9534274;AG;BULGARSKIE
320;16.02.2016;9390109;AG;HUTA (KRA)
321;16.02.2016;8905115;DE;POZNANSKIE
322;17.02.2016;9637143;CY;KATOWICKIE
323;17.02.2016;9285122;BS;DRZETOWSKIE N
324;17.02.2016;9083885;CY;BYTOMSKIE
325;17.02.2016;9223423;NL;ANGIELSKIE
326;17.02.2016;9360996;CY;FINSKIE
327;17.02.2016;7615749;PL;SPOLDZIELCZE
328;17.02.2016;7704057;PL;CAL
329;18.02.2016;9219874;NL;CZESKIE
330;18.02.2016;9066045;RU;POZNANSKIE
331;18.02.2016;9136096;BE;CZESKIE
332;18.02.2016;9559092;NL;GORNOSLASKIE
333;18.02.2016;9125047;AG;GLIWICKIE
334;19.02.2016;9518268;NL;GORNOSLASKIE
335;19.02.2016;8211629;CK;BYTOMSKIE
336;19.02.2016;8321656;DK;MAZOWIECKIE
337;19.02.2016;9544932;NL;PRZEMYSLOWE
338;19.02.2016;9333541;NL;SLOWACKIE
339;19.02.2016;9364136;NL;KATOWICKIE
340;19.02.2016;9113599;RU;BULGARSKIE
341;19.02.2016;9341782;NL;WALBRZYSKIE
342;19.02.2016;9404065;AG;FINSKIE
343;19.02.2016;8222185;AG;HUTA (KRA)
344;19.02.2016;9085455;BE;PARNICKIE
345;19.02.2016;9011519;NO;HUTA (KRA)
346;20.02.2016;8913485;BB;WALBRZYSKIE
347;20.02.2016;9191955;AG;SNOP S
348;20.02.2016;9434046;AG;BYTOMSKIE
349;20.02.2016;9256420;CY;PARNICKIE
350;20.02.2016;8919221;AG;DRZETOWSKIE N
351;20.02.2016;8873025;RU;BYTOMSKIE
352;20.02.2016;8918734;NL;WEGIERSKIE
353;20.02.2016;9579391;HK;CHORZOWSKIE
354;20.02.2016;9124419;MT;GORNOSLASKIE
355;21.02.2016;8129395;FO;GLIWICKIE
356;21.02.2016;8719097;FO;REMONTOWE
357;21.02.2016;9505314;GI;HOLENDERSKIE
358;21.02.2016;9434759;AG;BELGIJSKIE
359;21.02.2016;7615749;PL;SPOLDZIELCZE
360;21.02.2016;9658355;MH;CPN III
361;21.02.2016;9361366;NL;CEMENTOWE
362;22.02.2016;8919855;AG;SLOWACKIE
363;22.02.2016;9122227;AG;CZESKIE
364;22.02.2016;9155872;FI;HUTA (KRA)
365;22.02.2016;7615749;PL;SPOLDZIELCZE
366;22.02.2016;9558012;GB;KATOWICKIE
367;22.02.2016;9114763;MT;FARBOLAK SWFIL
368;23.02.2016;9341782;NL;PIRS E
369;23.02.2016;8321656;DK;MAZOWIECKIE
370;23.02.2016;9219460;GI;CZESKIE
371;23.02.2016;8714841;DE;POZNANSKIE
372;23.02.2016;9313694;AG;GDANSKIE
373;23.02.2016;9130212;GI;GLIWICKIE
374;23.02.2016;8211629;CK;DRZETOWSKIE N
375;23.02.2016;7615749;PL;SPOLDZIELCZE
376;24.02.2016;9548304;NL;PARNICKIE
377;24.02.2016;9287699;MT;FINSKIE
378;24.02.2016;8300327;PA;BULGARSKIE
379;24.02.2016;9201968;NL;REGALICA
380;24.02.2016;7704057;PL;CAL
381;24.02.2016;9148166;AG;PRZEMYSLOWE
382;24.02.2016;9119634;DE;GLIWICKIE
383;24.02.2016;8511029;DE;BELGIJSKIE
384;25.02.2016;7615749;PL;FARBOLAK SWFIL
385;25.02.2016;9360996;CY;FINSKIE
386;25.02.2016;8321656;DK;MAZOWIECKIE
387;25.02.2016;9100138;NO;RUMUNSKIE
388;25.02.2016;9555333;RU;REGALICA
389;25.02.2016;7641475;PL;CAL
390;25.02.2016;8813972;NO;BULGARSKIE
391;25.02.2016;9066069;PA;BULGARSKIE
392;25.02.2016;9313814;NL;KATOWICKIE
393;25.02.2016;9361366;NL;CEMENTOWE
394;25.02.2016;8922266;BS;PARNICKIE
395;25.02.2016;9219874;NL;CZESKIE
396;26.02.2016;7615749;PL;FARBOLAK SWFIL
397;26.02.2016;8919221;AG;DRZETOWSKIE N
398;26.02.2016;9142631;NL;HUTA (KRA)
399;26.02.2016;7704057;PL;KATOWICKIE
400;26.02.2016;9318034;MT;GDYNSKIE S
401;26.02.2016;8609931;LV;KATOWICKIE
402;26.02.2016;7615749;PL;FARBOLAK SWFIL
403;26.02.2016;9336696;DK;FOSFATOWE DALBY
404;27.02.2016;9349186;AG;FINSKIE
405;27.02.2016;9305362;PT;PARNICKIE
406;27.02.2016;9376775;AG;KATOWICKIE
407;28.02.2016;9368209;RU;BULGARSKIE
408;28.02.2016;9114763;MT;FOSFATOWE DALBY
409;28.02.2016;9177882;AG;DRZETOWSKIE N
410;28.02.2016;9518414;AG;GORNOSLASKIE
411;28.02.2016;9010814;BS;GDANSKIE
412;28.02.2016;8407228;DE;HUTA (KRA)
413;28.02.2016;9267704;NL;BYTOMSKIE
414;28.02.2016;9136096;BE;ANGIELSKIE
415;28.02.2016;9312705;AG;HUTA (KRA)
416;29.02.2016;6605448;PL;WARSZTATOWE
417;29.02.2016;7704057;PL;CAL
418;29.02.2016;7810222;CY;GLIWICKIE
419;29.02.2016;8881711;RU;GORNOSLASKIE
420;29.02.2016;8919221;AG;DRZETOWSKIE N
421;29.02.2016;7615749;PL;FARBOLAK SWFIL
422;01.03.2016;9391000;NO;HUTA (KRA)
423;01.03.2016;9195676;BS;BYTOMSKIE
424;01.03.2016;9341782;NL;PRZEMYSLOWE
425;01.03.2016;9119622;RU;BULGARSKIE
426;01.03.2016;9345362;BE;HOLENDERSKIE
427;01.03.2016;8611013;AG;SNOP N
428;01.03.2016;9231846;AG;FINSKIE
429;01.03.2016;8104541;AG;GLIWICKIE
430;02.03.2016;9211066;CY;KATOWICKIE
431;02.03.2016;9364136;NL;HUTA (KRA)
432;02.03.2016;9462744;NL;ANGIELSKIE
433;02.03.2016;9148166;AG;SNOP S
434;02.03.2016;9201839;NL;REMONTOWE
435;03.03.2016;9190262;CY;CZESKIE
436;03.03.2016;9381809;TR;SNOP N
437;03.03.2016;9534262;LR;BULGARSKIE
438;03.03.2016;8420098;DE;POZNANSKIE
439;03.03.2016;9434046;AG;BYTOMSKIE
440;03.03.2016;7924401;AG;SNOP N
441;03.03.2016;8912481;FI;FOSFATOWE
442;03.03.2016;8919221;AG;DRZETOWSKIE N
443;03.03.2016;7704057;PL;SNOP N
444;03.03.2016;8605478;BS;HOLENDERSKIE
445;03.03.2016;9219874;NL;FINSKIE
446;04.03.2016;9136101;BE;ANGIELSKIE
447;04.03.2016;9106912;AG;REGALICA
448;04.03.2016;9404065;AG;CZESKIE
449;04.03.2016;7937965;PL;DRZETOWSKIE S
450;04.03.2016;8412417;VC;HUTA (KRA)
451;05.03.2016;9360996;CY;FINSKIE
452;05.03.2016;9555333;RU;GLIWICKIE
453;05.03.2016;9154268;CY;SLOWACKIE
454;05.03.2016;9140970;CY;BULGARSKIE
455;05.03.2016;8702252;RU;FOSFATOWE
456;05.03.2016;7704057;PL;CAL
457;06.03.2016;8919855;AG;SLOWACKIE
458;06.03.2016;9240732;VC;GORNOSLASKIE
459;06.03.2016;7641475;PL;CAL
460;06.03.2016;8511029;DE;POZNANSKIE
461;06.03.2016;8320585;DM;POLSKIE
462;06.03.2016;8873087;RU;BULGARSKIE
463;06.03.2016;9374387;GI;GLIWICKIE
464;06.03.2016;9244087;CH;KATOWICKIE
465;06.03.2016;9150535;MT;BYTOMSKIE
466;06.03.2016;9369526;GI;PARNICKIE
467;06.03.2016;9374703;NL;CZESKIE
468;06.03.2016;8402589;PA;CZESKIE
469;07.03.2016;9610341;CH;PARNICKIE
470;07.03.2016;9487603;MT;RUMUNSKIE
471;07.03.2016;9044932;CY;SNOP S
472;07.03.2016;9514913;NL;SNOP S
473;07.03.2016;8918734;NL;WEGIERSKIE
474;07.03.2016;9552082;AG;SLOWACKIE
475;07.03.2016;9190171;GI;BULGARSKIE
476;07.03.2016;7382500;BB;BULGARSKIE
477;08.03.2016;9360477;PT;REGALICA
478;08.03.2016;9313864;NL;PARNICKIE
479;08.03.2016;9578751;AG;BELGIJSKIE
480;08.03.2016;9173214;MT;SNOP S
481;08.03.2016;9341782;NL;PIRS E
482;08.03.2016;9571404;HK;CHORZOWSKIE
483;08.03.2016;9315006;NL;FINSKIE
484;09.03.2016;7704057;PL;DRZETOWSKIE S
485;09.03.2016;9356488;NL;ANGIELSKIE
486;09.03.2016;9313785;NL;GLIWICKIE
487;09.03.2016;9633006;SG;KATOWICKIE
488;09.03.2016;9340477;PH;KATOWICKIE - DALBY
489;09.03.2016;7615749;PL;SPOLDZIELCZE
490;09.03.2016;8403545;VC;WULKAN N
491;10.03.2016;9462744;NL;SNOP S
492;10.03.2016;9119634;DE;REGALICA
493;10.03.2016;8400050;BS;BULGARSKIE
494;10.03.2016;8008450;MT;MAZOWIECKIE
495;10.03.2016;9219874;NL;FINSKIE
496;10.03.2016;9063885;BS;HUTA (KRA)
497;10.03.2016;8407711;CY;ARSENAL
498;10.03.2016;8919221;AG;DRZETOWSKIE N
499;11.03.2016;9518402;AG;CZESKIE
500;11.03.2016;7615749;PL;SPOLDZIELCZE
501;11.03.2016;9346550;RU;BULGARSKIE
502;11.03.2016;9434541;HK;CPN III
503;11.03.2016;9349186;AG;FINSKIE
504;11.03.2016;9108740;NO;HUTA (KRA)
505;11.03.2016;7704057;PL;KATOWICKIE
506;11.03.2016;9114725;MT;WEGIERSKIE
507;11.03.2016;9268239;MT;FOSFATOWE DALBY
508;12.03.2016;7615749;PL;SPOLDZIELCZE
509;12.03.2016;8867052;RU;FOSFATOWE
510;12.03.2016;8911841;FO;CEMENTOWE
511;12.03.2016;9341782;NL;PIRS E
512;12.03.2016;9710139;BS;SLOWACKIE
513;12.03.2016;9455674;NL;CZESKIE
514;13.03.2016;8820286;CY;FOSFATOWE DALBY
515;13.03.2016;7704057;PL;CAL
516;13.03.2016;9467201;NL;SLOWACKIE
517;13.03.2016;9393266;NL;PRZEMYSLOWE
518;13.03.2016;9197399;AG;ODRA STARE
519;13.03.2016;8820107;MT;CZESKIE
520;13.03.2016;7615749;PL;FARBOLAK SWFIL
521;13.03.2016;9201803;NL;CZESKIE
522;14.03.2016;8714841;DE;SNOP N
523;14.03.2016;8818623;AG;BYTOMSKIE
524;14.03.2016;9356488;NL;GORNOSLASKIE
525;14.03.2016;7615749;PL;FARBOLAK SWFIL
526;14.03.2016;9360996;CY;FINSKIE
527;15.03.2016;9344409;NL;REGALICA
528;15.03.2016;9503914;CY;PARNICKIE
529;15.03.2016;9290672;MT;BULGARSKIE
530;15.03.2016;9341782;NL;PIRS E
531;15.03.2016;7615749;PL;FARBOLAK SWFIL
532;15.03.2016;9231846;AG;FINSKIE
533;16.03.2016;9387322;NL;CZESKIE
534;16.03.2016;7641475;PL;CAL
535;16.03.2016;6507983;VC;HUTA (KRA)
536;16.03.2016;9463449;NL;GORNOSLASKIE
537;16.03.2016;9124419;MT;PARNICKIE
538;16.03.2016;9364136;NL;HUTA (KRA)
539;16.03.2016;7615749;PL;FARBOLAK SWFIL
540;17.03.2016;9107136;NO;WALBRZYSKIE
541;17.03.2016;9219874;NL;CZESKIE
542;18.03.2016;9462500;AG;REGALICA
543;18.03.2016;8919221;AG;DRZETOWSKIE N
544;18.03.2016;9161247;PL;BULWAR CHROBREGO
545;18.03.2016;9364148;NL;SNOP S
546;18.03.2016;8415172;CY;ODRA NOWE
547;18.03.2016;6605503;PL;ODRA NOWE
548;18.03.2016;9404065;AG;FINSKIE
549;19.03.2016;9011985;DE;GLIWICKIE
550;19.03.2016;9165308;AG;CZESKIE
551;19.03.2016;9246918;DK;FOSFATOWE DALBY
552;19.03.2016;9341782;NL;PIRS E
553;19.03.2016;8704559;RU;BYTOMSKIE
554;19.03.2016;8222185;AG;SNOP S
555;19.03.2016;7638349;BS;CEMENTOWE
556;19.03.2016;8417259;FO;KATOWICKIE
557;19.03.2016;8415653;NO;BULGARSKIE
558;19.03.2016;8919855;AG;BELGIJSKIE
559;19.03.2016;8407228;DE;HUTA (KRA)
560;19.03.2016;9336701;DK;FOSFATOWE DALBY
